date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.12,AK,0,46,0,0,0,0,0,60,46,阿拉斯加州,Alaska
3.12,AL,0,10,0,0,0,0,0,10,10,阿拉巴马州,Alabama
3.12,AR,6,24,0,0,0,12,6,50,30,阿肯色州,Arkansas
3.12,AZ,9,82,0,0,0,23,0,115,91,亚利桑那州,Arizona
3.12,CA,202,916,0,4,4,0,45,1118,1118,加利福尼亚州,California
3.12,CO,45,298,0,0,0,47,17,343,343,科罗拉多州,Colorado
3.12,CT,6,89,0,0,0,18,3,95,95,康涅狄格州,Connecticut
3.12,DE,4,23,0,0,0,6,3,41,27,特拉华州,Delaware
3.12,FL,32,301,0,2,0,0,4,480,333,佛罗里达州,Florida
3.12,GA,31,0,0,0,0,0,9,31,31,乔治亚州（佐治亚州）,Georgia
3.12,HI,2,0,0,0,0,0,0,2,2,夏威夷州,Hawaii
3.12,IA,14,67,0,0,0,21,1,105,81,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.12,ID,0,93,0,0,0,26,0,93,93,爱达荷州,Idaho
3.12,IL,25,266,0,0,0,22,6,367,291,伊利诺斯州,Illinois
3.12,IN,12,52,0,0,0,19,2,64,64,印第安纳州,Indiana
3.12,KS,4,41,0,0,0,0,3,45,45,堪萨斯州,Kansas
3.12,KY,8,56,0,0,0,10,0,64,64,肯塔基州,Kentucky
3.12,LA,14,37,0,0,0,0,8,51,51,路易斯安那州,Louisiana
3.12,MA,8,0,0,0,0,0,0,8,8,马萨诸塞州（麻省、麻州）,Massachusetts
3.12,MD,12,94,0,0,0,0,3,106,106,马里兰州,Maryland
3.12,ME,1,65,0,0,0,23,1,86,66,缅因州,Maine
3.12,MI,702,91,0,0,0,34,205,820,793,密歇根州（密执安州）,Michigan
3.12,MN,9,307,0,0,0,90,4,316,316,明尼苏达州,Minnesota
3.12,MO,1,64,0,0,0,64,0,65,65,密苏里州,Missouri
3.12,MS,1,41,0,0,0,21,1,42,42,密西西比州,Mississippi
