province,date,confirm,dead,heal,confirm_add,newConfirm,newHeal,newDead
重庆,1.20,0,0,0,0,0,0,0
浙江,1.2,0,0,0,0,0,0,0
云南,1.2,0,0,0,0,0,0,0
新疆,1.2,0,0,0,0,0,0,0
香港,1.2,0,0,0,0,0,0,0
西藏,1.2,0,0,0,0,0,0,0
天津,1.2,0,0,0,0,0,0,0
台湾,1.2,0,0,0,0,0,0,0
四川,1.2,0,0,0,0,0,0,0
上海,1.2,0,0,0,0,0,0,0
陕西,1.2,0,0,0,0,0,0,0
山西,1.2,0,0,0,0,0,0,0
山东,1.2,0,0,0,0,0,0,0
青海,1.2,0,0,0,0,0,0,0
宁夏,1.2,0,0,0,0,0,0,0
内蒙古,1.2,0,0,0,0,0,0,0
辽宁,1.2,0,0,0,0,0,0,0
江西,1.2,0,0,0,0,0,0,0
江苏,1.2,0,0,0,0,0,0,0
吉林,1.2,0,0,0,0,0,0,0
湖南,1.2,0,0,0,0,0,0,0
湖北,1.2,270,6,25,72,0,0,0
黑龙江,1.2,0,0,0,0,0,0,0
河南,1.2,0,0,0,0,0,0,0
河北,1.2,0,0,0,0,0,0,0
海南,1.2,0,0,0,0,0,0,0
贵州,1.2,0,0,0,0,0,0,0
广西,1.2,0,0,0,0,0,0,0
广东,1.2,0,0,0,0,0,0,0
甘肃,1.2,0,0,0,0,0,0,0
福建,1.2,0,0,0,0,0,0,0
北京,1.2,0,0,0,0,0,0,0
澳门,1.2,0,0,0,0,0,0,0
安徽,1.2,0,0,0,0,0,0,0
重庆,1.21,6,0,0,0,0,0,0
浙江,1.21,0,0,0,0,0,0,0
云南,1.21,0,0,0,0,0,0,0
新疆,1.21,0,0,0,0,0,0,0
香港,1.21,0,0,0,0,0,0,0
西藏,1.21,0,0,0,0,0,0,0
天津,1.21,0,0,0,0,0,0,0
台湾,1.21,0,0,0,0,0,0,0
四川,1.21,0,0,0,0,0,0,0
上海,1.21,0,0,0,0,0,0,0
陕西,1.21,0,0,0,0,0,0,0
山西,1.21,0,0,0,0,0,0,0
山东,1.21,0,0,0,0,0,0,0
青海,1.21,0,0,0,0,0,0,0
宁夏,1.21,0,0,0,0,0,0,0
内蒙古,1.21,0,0,0,0,0,0,0
辽宁,1.21,0,0,0,0,0,0,0
江西,1.21,0,0,0,0,0,0,0
江苏,1.21,0,0,0,0,0,0,0
吉林,1.21,0,0,0,0,0,0,0
湖南,1.21,0,0,0,0,0,0,0
湖北,1.21,375,9,28,105,105,3,3
黑龙江,1.21,0,0,0,0,0,0,0
河南,1.21,1,0,0,0,0,0,0
河北,1.21,0,0,0,0,0,0,0
海南,1.21,0,0,0,0,0,0,0
贵州,1.21,0,0,0,0,0,0,0
广西,1.21,0,0,0,0,0,0,0
广东,1.21,26,0,0,9,0,0,0
甘肃,1.21,0,0,0,0,0,0,0
福建,1.21,0,0,0,0,0,0,0
北京,1.21,0,0,0,0,0,0,0
澳门,1.21,0,0,0,0,0,0,0
安徽,1.21,0,0,0,0,0,0,0
重庆,1.22,9,0,0,3,3,0,0
浙江,1.22,0,0,0,0,0,0,0
云南,1.22,0,0,0,0,0,0,0
新疆,1.22,0,0,0,0,0,0,0
香港,1.22,1,0,0,1,1,0,0
西藏,1.22,0,0,0,0,0,0,0
天津,1.22,0,0,0,0,0,0,0
台湾,1.22,1,0,0,1,1,0,0
四川,1.22,0,0,0,0,0,0,0
上海,1.22,0,0,0,0,0,0,0
陕西,1.22,0,0,0,0,0,0,0
山西,1.22,0,0,0,0,0,0,0
山东,1.22,0,0,0,0,0,0,0
青海,1.22,0,0,0,0,0,0,0
宁夏,1.22,1,0,0,0,0,0,0
内蒙古,1.22,0,0,0,0,0,0,0
辽宁,1.22,0,0,0,0,0,0,0
江西,1.22,3,0,0,1,0,0,0
江苏,1.22,1,0,0,1,0,0,0
吉林,1.22,0,0,0,0,0,0,0
湖南,1.22,0,0,0,0,0,0,0
湖北,1.22,444,17,28,69,69,0,8
黑龙江,1.22,0,0,0,0,0,0,0
河南,1.22,5,0,0,4,4,0,0
河北,1.22,0,0,0,0,0,0,0
海南,1.22,0,0,0,0,0,0,0
贵州,1.22,0,0,0,0,0,0,0
广西,1.22,5,0,0,0,0,0,0
广东,1.22,32,0,0,6,6,0,0
甘肃,1.22,0,0,0,0,0,0,0
福建,1.22,0,0,0,0,0,0,0
北京,1.22,0,0,0,0,0,0,0
澳门,1.22,1,0,0,1,1,0,0
安徽,1.22,0,0,0,0,0,0,0
重庆,1.23,27,0,0,18,18,0,0
浙江,1.23,0,0,0,0,0,0,0
云南,1.23,0,0,0,0,0,0,0
新疆,1.23,2,0,0,2,2,0,0
香港,1.23,2,0,0,1,1,0,0
西藏,1.23,0,0,0,0,0,0,0
天津,1.23,0,0,0,0,0,0,0
台湾,1.23,1,0,0,0,0,0,0
四川,1.23,0,0,0,0,0,0,0
上海,1.23,0,0,0,0,0,0,0
陕西,1.23,0,0,0,0,0,0,0
山西,1.23,0,0,0,0,0,0,0
山东,1.23,0,0,0,0,0,0,0
青海,1.23,0,0,0,0,0,0,0
宁夏,1.23,2,0,0,1,1,0,0
内蒙古,1.23,0,0,0,0,0,0,0
辽宁,1.23,0,0,0,0,0,0,0
江西,1.23,7,0,0,4,4,0,0
江苏,1.23,9,0,1,4,4,1,0
吉林,1.23,0,0,0,0,0,0,0
湖南,1.23,24,0,0,15,0,0,0
湖北,1.23,549,24,31,105,105,3,7
黑龙江,1.23,0,0,0,0,0,0,0
河南,1.23,9,0,0,4,4,0,0
河北,1.23,0,0,0,0,0,0,0
海南,1.23,0,0,0,0,0,0,0
贵州,1.23,3,0,0,0,0,0,0
广西,1.23,13,0,0,8,8,0,0
广东,1.23,53,0,2,21,21,2,0
甘肃,1.23,0,0,0,0,0,0,0
福建,1.23,0,0,0,0,0,0,0
北京,1.23,0,0,0,0,0,0,0
澳门,1.23,2,0,0,1,1,0,0
安徽,1.23,15,0,0,0,0,0,0
重庆,1.24,58,0,0,30,30,0,0
浙江,1.24,62,0,0,19,0,0,0
云南,1.24,0,0,0,0,0,0,0
新疆,1.24,3,0,0,1,1,0,0
香港,1.24,5,0,0,3,3,0,0
西藏,1.24,0,0,0,0,0,0,0
天津,1.24,0,0,0,0,0,0,0
台湾,1.24,3,0,0,2,2,0,0
四川,1.24,0,0,0,0,0,0,0
上海,1.24,0,0,0,0,0,0,0
陕西,1.24,0,0,0,0,0,0,0
山西,1.24,6,0,0,5,0,0,0
山东,1.24,0,0,0,0,0,0,0
青海,1.24,1,0,0,0,0,0,0
宁夏,1.24,3,0,0,1,1,0,0
内蒙古,1.24,0,0,0,0,0,0,0
辽宁,1.24,0,0,0,0,0,0,0
江西,1.24,18,0,0,11,11,0,0
江苏,1.24,18,0,1,9,9,0,0
吉林,1.24,0,0,0,0,0,0,0
湖南,1.24,43,0,0,19,19,0,0
湖北,1.24,729,39,32,180,180,1,15
黑龙江,1.24,0,0,0,0,0,0,0
河南,1.24,32,0,0,23,23,0,0
河北,1.24,0,0,0,0,0,0,0
海南,1.24,11,0,0,3,0,0,0
贵州,1.24,4,0,0,1,1,0,0
广西,1.24,23,0,0,10,10,0,0
