city,date,confirm,dead,heal,confirm_add
鄂州,1.21,0,0,0,0
恩施州,1.21,0,0,0,0
黄冈,1.21,12,0,0,12
黄石,1.21,0,0,0,0
荆门,1.21,0,0,0,0
荆州,1.21,0,0,0,0
潜江,1.21,0,0,0,0
神农架,1.21,0,0,0,0
十堰,1.21,0,0,0,0
随州,1.21,0,0,0,0
天门,1.21,0,0,0,0
武汉,1.21,258,3,25,60
仙桃,1.21,0,0,0,0
咸宁,1.21,0,0,0,0
襄阳,1.21,0,0,0,0
孝感,1.21,0,0,0,0
宜昌,1.21,0,0,0,0
鄂州,1.22,0,0,0,0
恩施州,1.22,0,0,0,0
黄冈,1.22,12,0,0,12
黄石,1.22,0,0,0,0
荆门,1.22,0,0,0,0
荆州,1.22,0,0,0,0
潜江,1.22,0,0,0,0
神农架,1.22,0,0,0,0
十堰,1.22,0,0,0,0
随州,1.22,0,0,0,0
天门,1.22,0,0,0,0
武汉,1.22,363,3,25,105
仙桃,1.22,0,0,0,0
咸宁,1.22,0,0,0,0
襄阳,1.22,0,0,0,0
孝感,1.22,0,0,0,0
宜昌,1.22,0,0,0,0
鄂州,1.23,0,0,0,0
恩施州,1.23,0,0,0,0
黄冈,1.23,12,0,0,12
黄石,1.23,0,0,0,0
荆门,1.23,1,0,0,1
荆州,1.23,6,0,0,6
潜江,1.23,0,0,0,0
神农架,1.23,0,0,0,0
十堰,1.23,0,0,0,0
随州,1.23,0,0,0,0
天门,1.23,0,0,0,0
武汉,1.23,425,3,25,62
仙桃,1.23,0,0,0,0
咸宁,1.23,0,0,0,0
襄阳,1.23,0,0,0,0
孝感,1.23,0,0,0,0
宜昌,1.23,0,0,0,0
鄂州,1.24,0,0,0,0
恩施州,1.24,0,0,0,0
黄冈,1.24,12,0,0,12
黄石,1.24,0,0,0,0
荆门,1.24,8,0,0,7
荆州,1.24,8,0,0,2
潜江,1.24,0,0,0,0
神农架,1.24,0,0,0,0
十堰,1.24,1,0,0,1
随州,1.24,0,0,0,0
天门,1.24,0,0,0,0
武汉,1.24,495,23,31,70
仙桃,1.24,2,0,0,2
咸宁,1.24,0,0,0,0
襄阳,1.24,0,0,0,0
孝感,1.24,22,0,0,22
宜昌,1.24,1,0,0,1
鄂州,1.25,0,0,0,0
恩施州,1.25,11,0,0,11
黄冈,1.25,64,0,0,52
黄石,1.25,0,0,0,0
荆门,1.25,21,0,0,13
荆州,1.25,10,0,0,2
潜江,1.25,0,0,0,0
神农架,1.25,0,0,0,0
十堰,1.25,5,0,0,4
随州,1.25,5,0,0,5
天门,1.25,3,0,0,3
武汉,1.25,572,38,32,77
仙桃,1.25,10,0,0,8
咸宁,1.25,0,0,0,0
襄阳,1.25,0,0,0,0
孝感,1.25,26,0,0,4
宜昌,1.25,1,0,0,0
鄂州,1.26,1,0,0,1
恩施州,1.26,17,0,0,6
黄冈,1.26,122,0,0,58
黄石,1.26,31,1,0,31
荆门,1.26,38,0,0,17
荆州,1.26,33,0,0,23
潜江,1.26,0,0,0,0
神农架,1.26,0,0,0,0
十堰,1.26,20,0,0,15
随州,1.26,36,0,0,31
天门,1.26,5,0,0,2
武汉,1.26,618,45,40,46
仙桃,1.26,11,0,0,1
咸宁,1.26,43,0,0,43
襄阳,1.26,2,0,0,2
孝感,1.26,55,0,0,29
宜昌,1.26,20,1,0,19
鄂州,1.27,20,0,0,19
恩施州,1.27,25,0,0,8
黄冈,1.27,154,0,0,32
黄石,1.27,36,1,0,5
荆门,1.27,90,0,0,52
荆州,1.27,47,0,0,14
潜江,1.27,5,0,0,5
神农架,1.27,0,0,0,0
十堰,1.27,40,0,0,20
随州,1.27,52,0,0,16
天门,1.27,13,0,0,8
武汉,1.27,698,63,42,80
仙桃,1.27,12,0,0,1
咸宁,1.27,66,0,0,21
襄阳,1.27,36,0,0,34
孝感,1.27,100,0,0,45
宜昌,1.27,31,1,0,11
鄂州,1.28,57,0,0,37
