country,date,confirm,confirm_add,heal,dead
阿尔巴尼亚,1.28,0,0,0,0
阿尔及利亚,1.28,0,0,0,0
阿富汗,1.28,0,0,0,0
阿根廷,1.28,0,0,0,0
阿联酋,1.28,0,0,0,0
阿曼,1.28,0,0,0,0
阿塞拜疆,1.28,0,0,0,0
埃及,1.28,0,0,0,0
埃塞俄比亚,1.28,0,0,0,0
爱尔兰,1.28,0,0,0,0
爱沙尼亚,1.28,0,0,0,0
安道尔,1.28,0,0,0,0
安哥拉,1.28,0,0,0,0
安提瓜和巴布达,1.28,0,0,0,0
奥地利,1.28,0,0,0,0
澳大利亚,1.28,5,0,0,0
巴巴多斯,1.28,0,0,0,0
巴布亚新几内亚,1.28,0,0,0,0
巴哈马,1.28,0,0,0,0
巴基斯坦,1.28,0,0,0,0
巴拉圭,1.28,0,0,0,0
巴勒斯坦,1.28,0,0,0,0
巴林,1.28,0,0,0,0
巴拿马,1.28,0,0,0,0
巴西,1.28,0,0,0,0
白俄罗斯,1.28,0,0,0,0
保加利亚,1.28,0,0,0,0
贝宁,1.28,0,0,0,0
比利时,1.28,0,0,0,0
冰岛,1.28,0,0,0,0
波黑,1.28,0,0,0,0
波兰,1.28,0,0,0,0
玻利维亚,1.28,0,0,0,0
伯利兹,1.28,0,0,0,0
博茨瓦纳,1.28,0,0,0,0
不丹,1.28,0,0,0,0
布基纳法索,1.28,0,0,0,0
布隆迪,1.28,0,0,0,0
赤道几内亚,1.28,0,0,0,0
丹麦,1.28,0,0,0,0
德国,1.28,1,0,0,0
东帝汶,1.28,0,0,0,0
多哥,1.28,0,0,0,0
多米尼加,1.28,0,0,0,0
多米尼克,1.28,0,0,0,0
俄罗斯,1.28,0,0,0,0
厄瓜多尔,1.28,0,0,0,0
厄立特里亚,1.28,0,0,0,0
法国,1.28,3,0,0,0
梵蒂冈,1.28,0,0,0,0
菲律宾,1.28,1,0,0,0
斐济,1.28,0,0,0,0
芬兰,1.28,0,0,0,0
佛得角,1.28,0,0,0,0
冈比亚,1.28,0,0,0,0
刚果,1.28,0,0,0,0
刚果民主共和国,1.28,0,0,0,0
哥伦比亚,1.28,0,0,0,0
哥斯达黎加,1.28,0,0,0,0
格林纳达,1.28,0,0,0,0
格鲁吉亚,1.28,0,0,0,0
古巴,1.28,0,0,0,0
圭亚那,1.28,0,0,0,0
哈萨克斯坦,1.28,0,0,0,0
海地,1.28,0,0,0,0
韩国,1.28,4,0,0,0
荷兰,1.28,0,0,0,0
黑山,1.28,0,0,0,0
洪都拉斯,1.28,0,0,0,0
吉布提,1.28,0,0,0,0
吉尔吉斯斯坦,1.28,0,0,0,0
几内亚,1.28,0,0,0,0
几内亚比绍,1.28,0,0,0,0
加拿大,1.28,2,0,0,0
加纳,1.28,0,0,0,0
加蓬,1.28,0,0,0,0
柬埔寨,1.28,0,0,0,0
捷克共和国,1.28,0,0,0,0
津巴布韦,1.28,0,0,0,0
喀麦隆,1.28,0,0,0,0
卡塔尔,1.28,0,0,0,0
科摩罗,1.28,0,0,0,0
科特迪瓦,1.28,0,0,0,0
科威特,1.28,0,0,0,0
克罗地亚,1.28,0,0,0,0
肯尼亚,1.28,0,0,0,0
拉脱维亚,1.28,0,0,0,0
老挝,1.28,0,0,0,0
黎巴嫩,1.28,0,0,0,0
立陶宛,1.28,0,0,0,0
利比里亚,1.28,0,0,0,0
利比亚,1.28,0,0,0,0
列支敦士登公国,1.28,0,0,0,0
卢森堡,1.28,0,0,0,0
卢旺达,1.28,0,0,0,0
罗马尼亚,1.28,0,0,0,0
马达加斯加,1.28,0,0,0,0
马尔代夫,1.28,0,0,0,0
马耳他,1.28,0,0,0,0
马拉维,1.28,0,0,0,0
马来西亚,1.28,4,0,0,0
马里,1.28,0,0,0,0
马其顿,1.28,0,0,0,0
毛里求斯,1.28,0,0,0,0
毛里塔尼亚,1.28,0,0,0,0
美国,1.28,5,0,0,0
蒙古,1.28,0,0,0,0
孟加拉,1.28,0,0,0,0
秘鲁,1.28,0,0,0,0
缅甸,1.28,0,0,0,0
摩尔多瓦,1.28,0,0,0,0
摩洛哥,1.28,0,0,0,0
摩纳哥,1.28,0,0,0,0
莫桑比克,1.28,0,0,0,0
墨西哥,1.28,0,0,0,0
纳米比亚,1.28,0,0,0,0
南非,1.28,0,0,0,0
尼泊尔,1.28,1,0,0,0
尼加拉瓜,1.28,0,0,0,0
尼日尔,1.28,0,0,0,0
尼日利亚,1.28,0,0,0,0
挪威,1.28,0,0,0,0
葡萄牙,1.28,0,0,0,0
日本,1.28,7,0,1,0
瑞典,1.28,0,0,0,0
瑞士,1.28,0,0,0,0
萨尔瓦多,1.28,0,0,0,0
塞尔维亚,1.28,0,0,0,0
塞拉利昂,1.28,0,0,0,0
塞内加尔,1.28,0,0,0,0
塞浦路斯,1.28,0,0,0,0
