total,susceptible,exposed,infected,recovered
1500,1496,3,1,0
1500,1495,4,1,0
1500,1491,6,2,1
1500,1488,7,4,1
1500,1478,14,7,1
1500,1463,28,7,2
1500,1434,46,15,5
1500,1400,69,22,9
1500,1343,108,34,15
1500,1255,170,51,24
1500,1193,195,79,33
1500,1120,208,120,52
1500,1048,208,166,78
1500,983,204,207,106
1499,903,220,237,139
1498,823,219,263,193
1498,737,243,271,247
1497,650,244,298,305
1497,591,230,307,369
1497,535,213,299,450
1497,504,171,307,515
1497,472,137,303,585
1497,437,127,276,657
1497,406,114,259,718
1497,385,90,252,770
1497,358,78,220,841
1496,337,73,198,888
1496,320,67,178,931
1496,310,53,166,967
1495,298,48,157,992
1493,289,44,129,1031
1492,276,39,112,1065
1492,270,27,109,1086
1491,265,26,94,1106
1491,262,22,86,1121
1491,258,15,83,1135
1491,254,13,78,1146
1491,243,20,72,1156
1491,239,18,70,1164
1491,235,17,59,1180
1491,231,16,52,1192
1491,223,18,54,1196
1490,219,16,50,1205
1490,214,16,48,1212
1490,209,18,48,1215
1490,205,16,49,1220
1490,201,14,47,1228
1490,195,18,42,1235
1490,189,17,41,1243
1490,185,14,44,1247
1490,179,15,49,1247
1489,171,15,51,1252
1489,168,14,52,1255
1489,165,15,46,1263
1489,161,16,41,1271
1489,158,15,35,1281
1488,152,14,35,1287
1488,150,13,31,1294
1488,148,10,32,1298
1487,146,7,29,1305
1487,145,5,27,1310
1487,143,7,22,1315
1487,140,8,22,1317
1487,137,9,20,1321
1487,136,4,25,1322
1487,130,7,25,1325
1486,126,7,25,1328
1486,121,11,23,1331
1486,117,12,21,1336
1486,110,18,20,1338
1486,109,13,24,1340
1486,106,12,24,1344
1486,102,12,23,1349
1486,96,13,26,1351
1486,96,10,24,1356
1486,95,9,22,1360
1485,93,6,21,1365
1485,93,5,21,1366
1485,91,5,17,1372
1484,87,8,13,1376
1483,84,9,12,1378
1483,81,8,15,1379
1483,79,7,17,1380
1483,76,6,17,1384
1483,75,4,18,1386
1483,72,7,17,1387
1483,70,7,16,1390
1483,67,8,14,1394
1482,64,5,16,1397
1482,62,4,17,1399
1482,60,4,18,1400
1482,60,1,19,1402
1482,57,4,18,1403
1482,57,3,16,1406
1482,56,2,17,1407
1482,53,5,16,1408
1482,49,8,16,1409
1482,48,6,18,1410
1482,47,4,21,1410
1482,42,7,23,1410
1482,42,5,24,1411
1482,42,4,21,1415
1482,42,2,18,1420
1482,41,3,16,1422
1481,40,3,14,1424
1481,39,2,15,1425
1481,38,2,15,1426
1481,38,1,16,1426
1481,38,1,14,1428
1481,37,2,13,1429
1481,36,3,13,1429
1481,36,2,12,1431
1481,36,2,9,1434
1481,36,0,10,1435
1481,36,0,10,1435
1481,35,1,9,1436
1481,35,0,9,1437
1481,34,1,8,1438
1481,34,1,8,1438
1481,33,2,7,1439
1481,33,1,8,1439
1481,32,1,9,1439
1481,31,2,9,1439
1481,30,3,9,1439
1481,30,3,8,1440
1481,30,2,9,1440
1481,30,1,10,1440
1481,30,0,8,1443
1481,29,1,6,1445
1481,29,1,6,1445
1481,29,0,7,1445
1481,29,0,7,1445
